,date,open,close,high,low,volume,code
1047,2014-02-26,38.013,38.186,38.726,36.708,38691.0,601888
1048,2014-02-27,38.074,37.89,40.255,37.197,57630.0,601888
1049,2014-02-28,37.911,38.665,38.96,37.788,35566.0,601888
1050,2014-03-03,38.115,37.941,38.135,37.452,52358.0,601888
1051,2014-03-04,37.707,37.462,37.952,36.209,73481.0,601888
1052,2014-03-05,37.381,37.809,38.329,37.014,48811.0,601888
1053,2014-03-06,37.758,38.787,38.909,37.483,42124.0,601888
1054,2014-03-07,38.818,37.574,39.011,37.523,39104.0,601888
1055,2014-03-10,36.698,36.484,37.462,36.178,28441.0,601888
1056,2014-03-11,35.974,36.678,37.585,35.597,31118.0,601888
1057,2014-03-12,36.28,35.893,37.095,35.659,22443.0,601888
1058,2014-03-13,35.72,35.883,36.423,35.72,13317.0,601888
1059,2014-03-14,35.72,34.986,36.127,34.69,22808.0,601888
1060,2014-03-17,35.261,35.628,35.648,34.446,20687.0,601888
1061,2014-03-18,35.873,35.536,36.056,35.404,19224.0,601888
1062,2014-03-19,35.465,34.843,35.465,34.701,17858.0,601888
1063,2014-03-20,34.802,34.833,35.495,34.701,32830.0,601888
1064,2014-03-21,34.68,35.465,35.648,34.303,18157.0,601888
1065,2014-03-24,35.475,35.648,35.873,35.21,23177.0,601888
1066,2014-03-25,35.404,35.18,35.934,34.701,27245.0,601888
1067,2014-03-26,35.139,35.251,35.343,34.935,8752.0,601888
1068,2014-03-27,35.251,34.853,35.332,34.731,12407.0,601888
1069,2014-03-28,34.874,33.386,35.098,33.121,35489.0,601888
1070,2014-03-31,33.478,33.885,33.895,33.386,19888.0,601888
1071,2014-04-01,33.834,34.415,34.548,33.712,20363.0,601888
1072,2014-04-02,34.446,33.926,34.65,33.712,20492.0,601888
1073,2014-04-03,33.957,33.936,34.395,33.906,13849.0,601888
1074,2014-04-04,33.936,34.456,34.497,33.834,9916.0,601888
1075,2014-04-08,34.599,35.597,35.771,34.344,42098.0,601888
1076,2014-04-09,35.659,35.516,35.873,35.261,16316.0,601888
1077,2014-04-10,36.056,36.433,36.78,36.056,46088.0,601888
1078,2014-04-11,36.331,36.28,36.973,36.036,15071.0,601888
1079,2014-04-14,36.127,36.637,36.841,36.127,24520.0,601888
1080,2014-04-15,36.311,35.862,36.688,35.822,14473.0,601888
1081,2014-04-16,36.056,35.648,36.27,35.424,11036.0,601888
1082,2014-04-17,35.669,35.434,35.974,35.302,12661.0,601888
1083,2014-04-18,35.169,35.638,35.883,35.169,11654.0,601888
1084,2014-04-21,35.037,34.823,35.394,34.802,15740.0,601888
1085,2014-04-22,35.016,34.507,35.016,34.038,17273.0,601888
1086,2014-04-23,34.293,34.181,34.752,33.906,11798.0,601888
1087,2014-04-24,34.283,34.099,34.425,33.916,7917.0,601888
1088,2014-04-25,34.344,33.467,34.344,33.406,15893.0,601888
1089,2014-04-28,33.427,32.785,33.834,32.397,21421.0,601888
1090,2014-04-29,32.795,33.141,33.202,32.673,17425.0,601888
1091,2014-04-30,32.917,33.355,33.58,32.764,12182.0,601888
1092,2014-05-05,32.988,33.885,34.028,32.988,18367.0,601888
1093,2014-05-06,33.906,34.334,34.578,33.885,16601.0,601888
1094,2014-05-07,34.344,33.997,34.344,33.834,8591.0,601888
1095,2014-05-08,33.936,33.794,34.446,33.539,11535.0,601888
1096,2014-05-09,33.794,33.284,34.028,33.121,12745.0,601888
1097,2014-05-12,33.427,33.59,33.763,33.253,18229.0,601888
1098,2014-05-13,33.62,33.029,33.702,33.009,17033.0,601888
1099,2014-05-14,33.162,33.029,33.304,32.927,14748.0,601888
1100,2014-05-15,32.978,32.54,33.111,32.418,15304.0,601888
1101,2014-05-16,32.795,32.713,32.805,32.408,8508.0,601888
1102,2014-05-19,32.591,31.602,32.754,31.195,25902.0,601888
1103,2014-05-20,32.041,31.684,32.041,31.388,10072.0,601888
1104,2014-05-21,31.47,32.357,32.408,31.388,20822.0,601888
1105,2014-05-22,32.357,32.571,32.958,32.255,17759.0,601888
1106,2014-05-23,32.55,32.703,32.815,32.357,11504.0,601888
1107,2014-05-26,33.121,32.836,33.121,32.632,15186.0,601888
1108,2014-05-27,32.866,32.031,32.866,32.0,29247.0,601888
1109,2014-05-28,31.898,32.408,32.632,31.837,23985.0,601888
1110,2014-05-29,32.509,32.0,32.601,31.98,15525.0,601888
1111,2014-05-30,31.908,32.387,32.56,31.878,11642.0,601888
1112,2014-06-03,32.387,31.959,32.55,31.898,12656.0,601888
1113,2014-06-04,31.949,31.704,32.163,31.541,10817.0,601888
1114,2014-06-05,31.694,31.908,32.0,31.49,10889.0,601888
1115,2014-06-06,31.908,31.837,31.918,31.511,10397.0,601888
1116,2014-06-09,31.827,31.837,32.071,31.633,13144.0,601888
1117,2014-06-10,31.98,32.081,32.204,31.806,13654.0,601888
1118,2014-06-11,32.051,32.316,32.438,31.898,12508.0,601888
1119,2014-06-12,32.071,31.755,32.153,31.745,15835.0,601888
1120,2014-06-13,31.796,32.265,32.316,31.643,23127.0,601888
1121,2014-06-16,32.285,32.693,32.754,32.112,26915.0,601888
1122,2014-06-17,32.622,32.652,32.785,32.306,20485.0,601888
1123,2014-06-18,32.662,32.224,32.683,32.071,15871.0,601888
1124,2014-06-19,32.204,31.857,32.377,31.704,14994.0,601888
1125,2014-06-20,31.725,32.041,32.173,31.623,7729.0,601888
1126,2014-06-23,32.051,32.856,33.121,31.98,25793.0,601888
1127,2014-06-24,33.012,32.991,33.125,32.63,10691.0,601888
1128,2014-06-25,32.909,32.847,33.322,32.64,11017.0,601888
1129,2014-06-26,33.105,33.208,33.394,32.847,19181.0,601888
1130,2014-06-27,33.239,34.034,34.261,33.177,35239.0,601888
1131,2014-06-30,34.116,34.096,34.457,33.992,22720.0,601888
1132,2014-07-01,34.426,34.24,34.57,34.034,22412.0,601888
1133,2014-07-02,34.24,34.312,34.539,34.075,24011.0,601888
1134,2014-07-03,34.467,33.755,34.653,33.693,56255.0,601888
1135,2014-07-04,33.59,33.301,33.59,32.95,35268.0,601888
1136,2014-07-07,33.239,33.156,33.404,32.991,16109.0,601888
1137,2014-07-08,33.095,32.145,33.105,31.918,54579.0,601888
1138,2014-07-09,31.99,31.908,32.217,31.846,29692.0,601888
1139,2014-07-10,31.918,32.032,32.155,31.908,20372.0,601888
1140,2014-07-11,32.021,32.001,32.114,31.959,20808.0,601888
1141,2014-07-14,31.99,32.434,32.506,31.887,25887.0,601888
